deployment_name,start_date,end_date,glider_name,distance_flown_km,coolops_did,payload_id,os,project_name,payload_bay,binaries
ru10-20120323T1638,2012-03-23 16:38,2012-04-10 15:57,ru10,341.342,339,10,7.04,eline,36,
ru10-20111210T1200,2011-12-10 12:00,2011-12-17 20:35,ru10,1970.671,244,22,6.38,eline,121,
ru22-20110823T1112,2011-08-23 11:12,2011-08-23 17:45,ru22,4.794,224,34,7.03,eline,148,
ru01-20100803T1618,2010-08-03 16:18,2010-09-01 15:15,ru01,667.444,163,18,6.38,eline,81,
ru21-20100722T1631,2010-07-22 16:31,2010-08-03 15:45,ru21,182.858,148,1,6.37,eline,0,
ru07-20100203T1806,2010-02-03 18:06,2010-02-09 18:23,ru07,94.342,104,18,6.38,eline,81,
ru23-20090921T1813,2009-09-21 18:13,2009-10-20 19:19,ru23,610.696,76,1,6.33,eline,0,
ru06-20090624T1918,2009-06-24 19:18,2009-07-09 15:34,ru06,252.054,257,37,6.32,eline,153,
ru24-20090624T1840,2009-06-24 18:40,2009-07-09 15:57,ru24,268.14,82,25,6.32,eline,139,
ru07-20090121T1839,2009-01-21 18:39,2009-02-06 16:21,ru07,315.73,60,18,6.32,eline,81,
ru15-20081214T1659,2008-12-14 16:59,2009-01-09 20:14,ru15,567.419,162,24,6.32,eline,138,
ru23-20081111T1702,2008-11-11 17:02,2008-11-14 15:12,ru23,46.659,46,24,6.33,eline,138,
ru07-20081014T1700,2008-10-14 17:00,2008-10-24 11:15,ru07,184.798,2,18,6.32,eline,81,
:,2008-09-04 18:00,2008-10-04 16:56,ru10,537.902,342,17,6.32,eline,80,
ru22-20080731T1700,2008-07-31 17:00,2008-09-04 21:00,ru22,739.869,127,22,6.32,eline,121,auvs/dbd
ru10-20080430T1700,2008-04-30 17:00,2008-05-15 16:12,ru10,319.125,122,17,6.31,eline,80,auvs/dbd
ru20-20080430T1645,2008-04-30 16:45,2008-05-19 17:04,ru20,436.007,121,20,6.32,eline,101,auvs/dbd
ru07-20080424T2012,2008-04-24 20:12,2008-04-30 17:42,ru07,86.987,120,12,6.32,eline,55,auvs/dbd
ru15-20070906T1712,2007-09-06 17:12,2007-09-24 15:29,ru15,277.896,332,11,6.3,eline,38,auvs/dbd
ru10-20070809T2007,2007-08-09 20:07,2007-08-24 20:03,ru10,294.02,327,17,6.3,eline,80,auvs/dbd
ru07-20070702T1728,2007-07-02 17:28,2007-07-14 16:56,ru07,224.833,324,12,6.3,eline,55,auvs/dbd
ru15-20070702T1723,2007-07-02 17:23,2007-07-13 14:16,ru15,260.382,160,11,6.31,eline,38,auvs/dbd
ru06-20070626T2240,2007-06-26 22:40,2007-07-14 19:55,ru06,420.6,322,28,6.3,eline,76,auvs/dbd
ru16-20070619T1626,2007-06-19 16:26,2007-06-21 07:49,ru16,28.876,321,18,6.3,eline,81,auvs/dbd
ru15-20070607T1735,2007-06-07 17:35,2007-06-19 17:30,ru15,274.833,159,11,6.31,eline,38,auvs/dbd
ru15-20070403T1449,2007-04-03 14:49,2007-04-06 20:33,ru15,39.811,319,11,6.31,eline,38,auvs/dbd
ru01-20070201T1606,2007-02-01 16:06,2007-02-12 15:45,ru01,162.4,314,67,6.27,eline,74,auvs/dbd
ru16-20070123T1639,2007-01-23 16:39,2007-02-01 14:38,ru16,150.536,313,18,6.27,eline,81,auvs/dbd
ru12-20061110T1708,2006-11-10 17:08,2006-12-12 17:38,ru12,660.726,312,16,6.25,eline,79,/auvs/dbd
ru14-20061107T1708,2006-11-07 17:08,2006-11-10 15:35,ru14,48.3,311,14,6.25,eline,77,/auvs/dbd
ru07-20060614T1455,2006-06-14 14:55,2006-06-29 19:07,ru07,337.534,282,9,6.19,eline,35,/auvs/dbd
ru05-20060531T1733,2006-05-31 17:33,2006-06-02 15:43,ru05,32.729,281,28,6.19,eline,76,auvs/dbd
ru07-20060518T1746,2006-05-18 17:46,2006-05-24 14:17,ru07,123.108,255,9,6.19,eline,35,/auvs/dbd
ru05-20060427T1451,2006-04-27 14:51,2006-05-04 15:00,ru05,142.13,253,10,6.12,eline,36,auvs/renamed_dbd
ru05-20060406T1539,2006-04-06 15:39,2006-04-25 01:10,ru05,405.756,251,10,6.12,eline,36,/auvs/dbd
ru05-20060112T1642,2006-01-12 16:42,2006-02-02 16:32,ru05,395.712,249,10,6.12,eline,36,/auvs/dbd
ru05-20051212T1845,2005-12-12 18:45,2005-12-19 16:02,ru05,75.64,243,10,6.12,eline,36,/auvs/dbd
ru05-20050809T1403,2005-08-09 14:03,2005-08-17 14:21,ru05,87.978,240,10,6.12,eline,36,/auvs/dbd
ru01-20050713T1620,2005-07-13 16:20,2005-07-30 13:36,ru01,358.649,95,5,6.09,eline,18,/auvs/dbd
ru05-20050713T1543,2005-07-13 15:43,2005-07-30 14:16,ru05,341.123,238,10,6.12,eline,36,/auvs/dbd
ru01-20050517T1406,2005-05-17 14:06,2005-06-11 16:56,ru01,426.26,94,5,6.09,eline,18,/auvs/dbd
ru02-20041130T1530,2004-11-30 15:30,2004-12-17 20:25,ru02,0,40,3,0,eline,11,gliderData/dbd
ru02-20041029T1345,2004-10-29 13:45,2004-11-11 15:35,ru02,0,39,3,0,eline,11,gliderData/dbd
ru01-20040928T1910,2004-09-28 19:10,2004-10-12 01:05,ru01,0,38,10,6.32,eline,36,gliderData/dbd
ru02-20040916T1455,2004-09-16 14:55,2004-10-13 10:45,ru02,0,36,3,0,eline,11,gliderData/dbd
ru01-20040817T1500,2004-08-17 15:00,2004-08-30 13:10,ru01,0,35,10,6.32,eline,36,gliderData/dbd
ru01-20040629T1320,2004-06-29 13:20,2004-07-09 16:30,ru01,0,27,10,6.32,eline,36,gliderData/dbd
ru01-20040608T1430,2004-06-08 14:30,2004-06-24 13:45,ru01,0,26,10,6.32,eline,36,gliderData/dbd
ru02-20040205T1355,2004-02-05 13:55,2004-02-26 19:15,ru02,0,17,3,0,eline,11,
ru02-20040114T1830,2004-01-14 18:30,2004-01-30 16:30,ru02,0,15,3,0,eline,11,gliderData/dbd
ru03-20031203T1800,2003-12-03 18:00,2003-12-18 17:00,ru03,0,68,6,5.28,eline,30,
ru03-20031028T1656,2003-10-28 16:56,2003-11-18 22:21,ru03,0,67,6,5.19,eline,30,
