dataset_id,start_year,project_name,ctd_sn,rutgers,,Rutgers Total,Total
ru33-20230113T1558,2023,CAREER,9395,1,,299,417
ru39-20231018T1426,2023,RMI,9917,1,,,
ru40-20231018T1419,2023,RMI,9878,1,,,
bios_jack-20230110T2006,2023,BIOS-SCOPE,9136,0,,,
bios_jack-20230223T1357,2023,BIOS-SCOPE,9415,0,,,
bios_jack-20230406T1530,2023,BIOS-SCOPE,9415,0,,,
bios_jack-20230626T1423,2023,BIOS-SCOPE,9415,0,,,
bios_minnie-20230111T1301,2023,BIOS-SCOPE,9265,0,,,
bios_minnie-20230414T1401,2023,BIOS-SCOPE,9423,0,,,
ru29-20220519T1537,2022,Challenger,9408,1,,,
sylvia-20221102T2016,2022,PASSENGERS,9092,1,,,
sylvia-20221105T2011,2022,PASSENGERS,9092,1,,,
bios_anna2-20220324T1530,2022,BIOS,9661,0,,,
bios_jack-20220627T1322,2022,BIOS-SCOPE,9423,0,,,
bios_minnie-20220324T1344,2022,BIOS,9415,0,,,
E640SG17-20221105T1234,2022,PASSENGERS,9358,0,,,
F641SG17-20221104T1413,2022,PASSENGERS,9367,0,,,
usf-murphy-20221104T1001,2022,PASSENGERS,131,0,,,
ru32-20210316T1728,2021,NJDEP,103,1,,,
sylvia-20210817T1351,2021,Hurricane Gliders,9092,1,,,
bios_anna2-20210123T2002,2021,MAGIC,9506,0,,,
bios_anna2-20210726T1241,2021,BIOS-SCOPE,9661,0,,,
bios_jack-20210123T2036,2021,MAGIC,9423,0,,,
bios_jack-20210619T2043,2021,BIOS,9415,0,,,
bios_jack-20210709T1801,2021,BIOS,9265,0,,,
bios_jack-20211021T1650,2021,BIOS,9265,0,,,
bios_minnie-20210405T2126,2021,BIOS,9423,0,,,
bios_minnie-20210517T1725,2021,BIOS,9423,0,,,
um_240-20211014T1758,2021,GoM Whales,206367,0,,,
ru34-20200831T1754,2020,ECO-PAM,9646,1,,,
ud_134-20200729T1559,2020,Hurricane Gliders,101,1,,,
ud_476-20200110T1828,2020,SWARM,9537,1,,,
ud_476-20200130T1435,2020,SWARM,9537,1,,,
ud_476-20200204T1911,2020,SWARM,9537,1,,,
ud_476-20200213T1410,2020,SWARM,9537,1,,,
bios_jack-20200605T1517,2020,BIOS,9136,0,,,
bios_minnie-20200206T2117,2020,BIOS,9136,0,,,
crate-20200130T0820,2020,MEPTAG,245,0,,,
crate-20200213T0854,2020,MEPTAG,245,0,,,
unit_507-20200109T1549,2020,SWARM,9221,0,,,
ru28-20191025T1640,2019,NJDEP,103,1,,,
bios_anna-20190606T1502,2019,BIOS,9263,0,,,
bios_anna-20190628T1721,2019,BIOS,9263,0,,,
bios_anna-20190910T1222,2019,BIOS,9263,0,,,
bios_anna-20191023T1142,2019,BIOS,9263,0,,,
bios_jack-20190512T1507,2019,BIOS,9415,0,,,
bios_jack-20190619T1424,2019,BIOS,9415,0,,,
bios_jack-20190725T1345,2019,BIOS,9415,0,,,
bios_jack-20190917T0240,2019,BIOS,9415,0,,,
bios_jack-20191116T1451,2019,BIOS,9423,0,,,
bios_minnie-20190308T1819,2019,BIOS,9265,0,,,
bios_minnie-20190705T1818,2019,BIOS,9136,0,,,
bios_minnie-20191021T1612,2019,BIOS,9136,0,,,
silbo18-20190717T1917,2019,Challenger,34,0,,,
amelia-20180501T1341,2018,MARACOOS,9092,1,,,
bios_anna-20180111T1426,2018,BIOS,9415,0,,,
bios_minnie-20180312T1404,2018,BIOS,9423,0,,,
bios_minnie-20180523T1352,2018,BIOS,9423,0,,,
silbo18-20180525T1016,2018,Challenger,34,0,,,
usp03-20180723T1440,2018,USP,9080,0,,,
amelia-20170518T1419,2017,MARACOOS,9092,1,,,
bio584-20170405T0000,2017,ULPGC,9299,0,,,
bio584-20170707T0000,2017,SITMA/ULPGC,9299,0,,,
bio584-20171104T1605,2017,SITMA/ULPGC,9299,0,,,
bios_anna-20170220T1757,2017,BIOS,9136,0,,,
bios_anna-20170712T1530,2017,BIOS,9136,0,,,
bios_jack-20170106T1728,2017,BIOS,9263,0,,,
bios_jack-20170313T1314,2017,BIOS,9263,0,,,
bios_jack-20170529T1729,2017,BIOS,9263,0,,,
bios_jack-20170628T1305,2017,BIOS,9263,0,,,
bios_jack-20170920T1915,2017,BIOS,9263,0,,,
bios_jack-20171103T1649,2017,BIOS,9263,0,,,
bios_minnie-20170220T1229,2017,BIOS,9265,0,,,
bios_minnie-20170616T1406,2017,BIOS,9265,0,,,
bios_minnie-20171212T1422,2017,BIOS,9423,0,,,
dyna585-20170707T0000,2017,SITMA/ULPGC,9298,0,,,
dyna585-20171104T1606,2017,SITMA/ULPGC,9298,0,,,
silbo17-20170514T1125,2017,Challenger,34,0,,,
amelia-20160227T0418,2016,MARACOOS,9092,1,,,
sylvia-20160520T1429,2016,MARES,9118,1,,,
bios_anna-20160701T1321,2016,BIOS,9136,0,,,
bios_jack-20160701T1330,2016,BIOS,0,0,,,
bios_minnie-20160503T1818,2016,BIOS,0,0,,,
bios_minnie-20160709T1314,2016,BIOS,0,0,,,
bios_minnie-20160715T1323,2016,BIOS,0,0,,,
ru23-20150707T1529,2015,IOOS,76,1,,,
ru28-20150714T1445,2015,NJDEP,103,1,,,
ud_134-20151007T2056,2015,MARACOOS,140,1,,,
ud_134-20151012T1926,2015,MARACOOS,140,1,,,
bios_anna-20150223T1425,2015,BIOS,9136,0,,,
bios_anna-20150308T1800,2015,BIOS,9136,0,,,
bios_anna-20151214T1815,2015,BIOS,9136,0,,,
bios_jack-20150917T1354,2015,BIOS,0,0,,,
bios_minnie-20150917T1354,2015,BIOS,0,0,,,
clark-20150609T1816,2015,TWRC-RU-JPL-UVI,211,0,,,
blue-20141028T1513,2014,GP2014,61,1,,,
blue-20141106T1553,2014,GP2014,61,1,,,
ru07-20140918T1310,2014,NJDEP,81,1,,,
ru29-20140711T1422,2014,Challenger,98,1,,,
ru29-20141117T1306,2014,Challenger,98,1,,,
ru30-20140312T1140,2014,CINAR,9104,1,,,
ru30-20140422T1743,2014,CINAR,9104,1,,,
ru30-20140604T1403,2014,CINAR,9104,1,,,
ru30-20140702T2329,2014,CINAR,9104,1,,,
ud_134-20140113T1518,2014,ICOOL,140,1,,,
bios_anna-20140624T1432,2014,BIOS,9136,0,,,
bios_anna-20141014T1404,2014,BIOS,9136,0,,,
modena-20140917T1736,2014,GP2014,9031,0,,,
otn200-20140828T1840,2014,GP2014,24,0,,,
otn201-20140902T1930,2014,GP2014,31,0,,,
penobscot-20140815T2000,2014,GP2014,74,0,,,
unit_308-20140830T2010,2014,GP2014,9013,0,,,
unit_414-20140422T2000,2014,CINAR,9114,0,,,
unit_414-20140703T2100,2014,CINAR,9114,0,,,
usf-bass-20140908T1450,2014,GP2014,126,0,,,
whoi_406-20140424T1700,2014,CINAR,9107,0,,,
whoi_406-20140703T1200,2014,CINAR,9107,0,,,
amelia-20131017T1709,2013,GP2013,9092,1,,,
blue-20130906T1347,2013,GP2013,61,1,,,
ru05-20130815T1650,2013,SBC,175,1,,,
ru07-20130815T1701,2013,SBC,80,1,,,
ru29-20130111T0724,2013,Challenger,98,1,,,
ru29-20131110T1400,2013,Challenger,98,1,,,
ud_275-20130404T1647,2013,MARACOOS,99,1,,,
ud_275-20130410T1224,2013,MARACOOS,99,1,,,
ud_275-20130912T2025,2013,GP2013,99,1,,,
darwin-20130717T1645,2013,TWRC-RU,101,0,,,
darwin-20130911T2055,2013,GP2013,101,0,,,
modena-20130911T1629,2013,GP2013,9031,0,,,
nemesis-20130731T1725,2013,MBARI-TWRC,181,0,,,
